appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
544750,SOULCALIBUR VI,BANDAI NAMCO Entertainment,Fighting,$12.5m ($6.9m - $18.1m),$478.1m,14486.0,82.76,1500000.0,0.6642643732973718
1089090,ONE PIECE: PIRATE WARRIORS 4,BANDAI NAMCO Entertainment,Fighting,$20.1m ($12.3m - $27.8m),$478.1m,7222.0,91.84,1500000.0,0.6587081587659868
1966720,Lethal Company,Zeekerss,Horror,$144.1m ($101.4m - $186.8m),$144.5m,239369.0,97.14,15000000.0,0.8476107336247656
782330,DOOM Eternal,Bethesda Softworks,Horror,$169.8m ($121.6m - $217.9m),$2.1b,84865.0,91.51,7500000.0,0.8081543105785821
232770,POSTAL,Running With Scissors,Horror,0,$19.5m,408008.0,85.89,3500000.0,0.7615799142033914
391720,Layers of Fear (2016),Bloober Team SA,Horror,$9.1m ($5.4m - $12.8m),$23.7m,143872.0,90.01,3500000.0,0.744164011829779
976310,Mortal Kombat 11,Warner Bros. Games,Horror,$86.6m ($53.8m - $119.3m),$882.3m,27301.0,88.47,3500000.0,0.7393820753363709
418370,Resident Evil 7 Biohazard,"CAPCOM Co., Ltd.",Horror,$69m ($44.4m - $93.6m),$1.8b,18211.0,95.37,3500000.0,0.7335034956169386
418460,Rising Storm 2: Vietnam,Tripwire Interactive,Horror,$21.8m ($15.7m - $27.9m),$237.9m,24518.0,87.92,3500000.0,0.7098286714855158
307780,Mortal Kombat X,Warner Bros. Games,Horror,$51m ($33.7m - $68.3m),$882.3m,13649.0,88.05,3500000.0,0.7097846366937537
1562430,DREDGE,Team17,Horror,$34.4m ($23.5m - $45.4m),$491.6m,12686.0,95.73,1500000.0,0.6879918512240679
221040,Resident Evil 6,Capcom,Horror,$38.6m ($27.7m - $49.4m),$248m,11836.0,79.03,3500000.0,0.6868431817921674
2531310,The Last of Us Part II Remastered,PlayStation Publishing LLC,Horror,$33.5m ($22.8m - $44.1m),$1.3b,18345.0,90.8,750000.0,0.682720872026329
395170,DISTRAINT: Deluxe Edition,Jesse Makkonen,Horror,$230.7k ($141.5k - $319.9k),$554.6k,162795.0,93.44,3500000.0,0.6819108249741159
568220,Lobotomy Corporation | Monster Management Simulation,ProjectMoon,Horror,$21.7m ($15.2m - $28.1m),$108.8m,7920.0,94.18,1500000.0,0.6586848447654201
1987080,Inside the Backrooms,MrFatcat,Horror,$17.5m ($10.9m - $24.1m),$17.5m,14807.0,81.97,1500000.0,0.6548775927404921
752590,A Plague Tale: Innocence,Focus Entertainment,Horror,$25.4m ($18.7m - $32.1m),$728.4m,4030.0,93.37,1500000.0,0.6473772679233702
934700,Dead Island 2,Deep Silver,Horror,$18.3m ($13.1m - $23.4m),$567.3m,12054.0,77.41,750000.0,0.6439472427160123
282140,SOMA,Frictional Games,Horror,$11m ($7.9m - $14.1m),$30.8m,4015.0,95.95,3500000.0,0.6431224346365667
21690,Resident Evil 5,Capcom,Horror,$27.8m ($19.4m - $36.2m),$248m,2568.0,87.73,1500000.0,0.6244656415133898
813230,ANIMAL WELL,Bigmode,Horror,$13m ($9.1m - $16.8m),$13.8m,8107.0,95.76,350000.0,0.6120769039784802
1419170,My Singing Monsters,Big Blue Bubble,Horror,$8.7m ($5.7m - $11.7m),$9.4m,3909.0,90.0,1500000.0,0.608844304569459
526870,Satisfactory,Coffee Stain Publishing,Indie,$170.8m ($113.6m - $228.1m),$592.7m,185957.0,97.31,15000000.0,0.8484752824192444
899770,Last Epoch,Eleventh Hour Games,Indie,$82.3m ($55.4m - $109.3m),$82.2m,258503.0,78.7,35000000.0,0.8399438473592149
